dbn,school_name,grade,category,year,total_days,days_absent,days_present,attendance,contributing_10_total_days,chronically_absent,chronically_absent_1
01M015,P.S. 015 Roberto Clemente,All Grades,All Students,2020-21,32686,3931,28755,88.0,199,84,42.2
01M019,P.S. 019 Asher Levy,All Grades,All Students,2020-21,36681,2523,34158,93.1,213,50,23.5
01M020,P.S. 020 Anna Silver,All Grades,All Students,2020-21,71138,5482,65656,92.3,425,99,23.3
01M034,P.S. 034 Franklin D. Roosevelt,All Grades,All Students,2020-21,48074,5516,42558,88.5,286,116,40.6
01M063,The STAR Academy - P.S.63,All Grades,All Students,2020-21,36697,2599,34098,92.9,222,57,25.7
01M064,P.S. 064 Robert Simon,All Grades,All Students,2020-21,38761,4809,33952,87.6,233,112,48.1
01M110,P.S. 110 Florence Nightingale,All Grades,All Students,2020-21,64920,3930,60990,93.9,382,74,19.4
01M134,P.S. 134 Henrietta Szold,All Grades,All Students,2020-21,36644,5816,30828,84.1,219,120,54.8
01M140,P.S. 140 Nathan Straus,All Grades,All Students,2020-21,61555,13060,48495,78.8,369,233,63.1
01M142,P.S. 142 Amalia Castro,All Grades,All Students,2020-21,56464,5402,51062,90.4,344,123,35.8
01M184,P.S. 184m Shuang Wen,All Grades,All Students,2020-21,125881,3404,122477,97.3,728,45,6.2
01M188,P.S. 188 The Island School,All Grades,All Students,2020-21,65521,10827,54694,83.5,409,217,53.1
01M292,Orchard Collegiate Academy,All Grades,All Students,2020-21,51741,9998,41743,80.7,299,170,56.9
01M315,The East Village Community School,All Grades,All Students,2020-21,51850,2195,49655,95.8,309,35,11.3
01M332,University Neighborhood Middle School,All Grades,All Students,2020-21,36277,5484,30793,84.9,211,98,46.4
01M361,The Children's Workshop School,All Grades,All Students,2020-21,51863,4154,47709,92.0,313,75,24.0
01M363,Neighborhood School,All Grades,All Students,2020-21,46981,1720,45261,96.3,275,25,9.1
01M364,Earth School,All Grades,All Students,2020-21,49983,3652,46331,92.7,297,75,25.3
01M378,School for Global Leaders,All Grades,All Students,2020-21,31655,1972,29683,93.8,190,38,20.0
01M448,University Neighborhood High School,All Grades,All Students,2020-21,98875,13805,85070,86.0,579,224,38.7
01M450,East Side Community School,All Grades,All Students,2020-21,117665,2619,115046,97.8,685,26,3.8
01M539,"New Explorations into Science, Technology and Math",All Grades,All Students,2020-21,313410,10409,303001,96.7,1797,123,6.8
01M696,Bard High School Early College,All Grades,All Students,2020-21,110961,6418,104543,94.2,637,126,19.8
01M839,Tompkins Square Middle School,All Grades,All Students,2020-21,61691,1967,59724,96.8,357,26,7.3
02M001,P.S. 001 Alfred E. Smith,All Grades,All Students,2020-21,41262,3356,37906,91.9,243,72,29.6
02M002,P.S. 002 Meyer London,All Grades,All Students,2020-21,73438,4434,69004,94.0,428,74,17.3
02M003,P.S. 003 Charrette School,All Grades,All Students,2020-21,103425,3375,100050,96.7,619,54,8.7
02M006,P.S. 006 Lillie D. Blake,All Grades,All Students,2020-21,102577,2356,100221,97.7,608,29,4.8
02M011,P.S. 011 William T. Harris,All Grades,All Students,2020-21,138623,4680,133943,96.6,823,87,10.6
02M033,P.S. 033 Chelsea Prep,All Grades,All Students,2020-21,96314,8754,87560,90.9,585,156,26.7
02M040,P.S. 040 Augustus Saint-Gaudens,All Grades,All Students,2020-21,109851,3530,106321,96.8,651,29,4.5
02M041,P.S. 041 Greenwich Village,All Grades,All Students,2020-21,92277,2349,89928,97.5,561,26,4.6
02M042,P.S. 042 Benjamin Altman,All Grades,All Students,2020-21,94684,2204,92480,97.7,551,36,6.5
02M047,47 The American Sign Language and English Secondar,All Grades,All Students,2020-21,37827,6943,30884,81.6,226,125,55.3
02M051,P.S. 051 Elias Howe,All Grades,All Students,2020-21,81720,10039,71681,87.7,492,171,34.8
