dbn,school_name,grade,category,year,total_days,days_absent,days_present,attendance,contributing_10_total_days,chronically_absent,chronically_absent_1
01M015,P.S. 015 Roberto Clemente,All Grades,All Students,2017-18,33264,2078,31186,93.8,196,37,18.9
01M019,P.S. 019 Asher Levy,All Grades,All Students,2017-18,46335,3994,42341,91.4,276,97,35.1
01M020,P.S. 020 Anna Silver,All Grades,All Students,2017-18,88007,6689,81318,92.4,533,158,29.6
01M034,P.S. 034 Franklin D. Roosevelt,All Grades,All Students,2017-18,59315,6079,53236,89.8,374,155,41.4
01M063,The STAR Academy - P.S.63,All Grades,All Students,2017-18,36452,2797,33655,92.3,213,62,29.1
01M064,P.S. 064 Robert Simon,All Grades,All Students,2017-18,43922,4561,39361,89.6,264,114,43.2
01M110,P.S. 110 Florence Nightingale,All Grades,All Students,2017-18,67561,3896,63665,94.2,398,75,18.8
01M134,P.S. 134 Henrietta Szold,All Grades,All Students,2017-18,53376,5502,47874,89.7,329,147,44.7
01M140,P.S. 140 Nathan Straus,All Grades,All Students,2017-18,67505,7243,60262,89.3,414,188,45.4
01M142,P.S. 142 Amalia Castro,All Grades,All Students,2017-18,60821,5018,55803,91.7,370,117,31.6
01M184,P.S. 184m Shuang Wen,All Grades,All Students,2017-18,121806,2993,118813,97.5,699,35,5.0
01M188,P.S. 188 The Island School,All Grades,All Students,2017-18,77535,8613,68922,88.9,501,230,45.9
01M292,Orchard Collegiate Academy,All Grades,All Students,2017-18,27447,3128,24319,88.6,174,62,35.6
01M301,"Technology, Arts, and Sciences Studio",All Grades,All Students,2017-18,18226,2047,16179,88.8,110,50,45.5
01M315,The East Village Community School,All Grades,All Students,2017-18,57174,3084,54090,94.6,331,49,14.8
01M332,University Neighborhood Middle School,All Grades,All Students,2017-18,36507,3269,33238,91.0,217,62,28.6
01M361,The Children's Workshop School,All Grades,All Students,2017-18,55583,4381,51202,92.1,331,83,25.1
01M363,Neighborhood School,All Grades,All Students,2017-18,53676,3590,50086,93.3,308,68,22.1
01M364,Earth School,All Grades,All Students,2017-18,62925,4165,58760,93.4,364,88,24.2
01M378,School for Global Leaders,All Grades,All Students,2017-18,46516,5072,41444,89.1,281,107,38.1
01M448,University Neighborhood High School,All Grades,All Students,2017-18,74750,5849,68901,92.2,483,122,25.3
01M450,East Side Community School,All Grades,All Students,2017-18,120759,5506,115253,95.4,691,80,11.6
01M509,Marta Valle High School,All Grades,All Students,2017-18,22676,4591,18085,79.8,150,95,63.3
01M539,"New Explorations into Science, Technology and Math",All Grades,All Students,2017-18,299009,11641,287368,96.1,1737,129,7.4
01M696,Bard High School Early College,All Grades,All Students,2017-18,96297,4975,91322,94.8,588,50,8.5
01M839,Tompkins Square Middle School,All Grades,All Students,2017-18,66466,3007,63459,95.5,376,43,11.4
02M001,P.S. 001 Alfred E. Smith,All Grades,All Students,2017-18,57798,3438,54360,94.1,348,74,21.3
02M002,P.S. 002 Meyer London,All Grades,All Students,2017-18,97617,3244,94373,96.7,593,69,11.6
02M003,P.S. 003 Charrette School,All Grades,All Students,2017-18,133390,7923,125467,94.1,770,127,16.5
02M006,P.S. 006 Lillie D. Blake,All Grades,All Students,2017-18,122855,5381,117474,95.6,705,62,8.8
02M011,P.S. 011 William T. Harris,All Grades,All Students,2017-18,165086,7855,157231,95.2,960,113,11.8
02M033,P.S. 033 Chelsea Prep,All Grades,All Students,2017-18,114865,7889,106976,93.1,711,192,27.0
02M040,P.S. 040 Augustus Saint-Gaudens,All Grades,All Students,2017-18,119716,4805,114911,96.0,688,42,6.1
02M041,P.S. 041 Greenwich Village,All Grades,All Students,2017-18,122971,4686,118285,96.2,703,37,5.3
02M042,P.S. 042 Benjamin Altman,All Grades,All Students,2017-18,115341,3265,112076,97.2,675,49,7.3
