dbn,school_name,total_students,students_in_temporary_housing,students_in_temporary_housing_1,students_residing_in_shelter,residing_in_dhs_shelter,residing_in_non_dhs_shelter,doubled_up,school_year
01M015,P.S. 015 Roberto Clemente,187,67,35.8%,16,6,10,49,2017-18
01M019,P.S. 019 Asher Levy,274,34,12.4%,19,s,s,15,2017-18
01M020,P.S. 020 Anna Silver,512,95,18.6%,41,26,15,51,2017-18
01M034,P.S. 034 Franklin D. Roosevelt,348,84,24.1%,46,34,12,38,2017-18
01M063,The STAR Academy - P.S.63,212,52,24.5%,13,s,s,37,2017-18
01M064,P.S. 064 Robert Simon,256,46,18.0%,18,s,s,25,2017-18
01M110,P.S. 110 Florence Nightingale,394,52,13.2%,14,s,s,37,2017-18
01M134,P.S. 134 Henrietta Szold,318,50,15.7%,31,24,7,17,2017-18
01M140,P.S. 140 Nathan Straus,394,72,18.3%,23,17,6,48,2017-18
01M142,P.S. 142 Amalia Castro,357,96,26.9%,30,s,s,62,2017-18
01M184,P.S. 184m Shuang Wen,693,78,11.3%,s,s,s,74,2017-18
01M188,P.S. 188 The Island School,462,185,40.0%,124,104,20,58,2017-18
01M292,Orchard Collegiate Academy,165,24,14.5%,9,s,s,12,2017-18
01M301,"Technology, Arts, and Sciences Studio",99,15,15.2%,8,s,s,6,2017-18
01M315,The East Village Community School,332,14,4.2%,8,s,s,6,2017-18
01M332,University Neighborhood Middle School,209,30,14.4%,10,s,s,18,2017-18
01M361,The Children's Workshop School,323,30,9.3%,13,s,s,14,2017-18
01M363,Neighborhood School,310,26,8.4%,s,s,s,23,2017-18
01M364,Earth School,363,51,14.0%,12,s,s,38,2017-18
01M378,School for Global Leaders,276,49,17.8%,22,s,s,24,2017-18
01M444,Home Schooling,49,s,s,s,s,s,s,2017-18
01M448,University Neighborhood High School,469,73,15.6%,12,s,s,59,2017-18
01M450,East Side Community School,685,41,6.0%,15,s,s,26,2017-18
01M458,Forsyth Satellite Academy,231,29,12.6%,14,8,6,7,2017-18
01M509,Marta Valle High School,138,20,14.5%,11,s,s,8,2017-18
01M515,Lower East Side Preparatory High School,672,100,14.9%,14,s,s,78,2017-18
01M539,"New Explorations into Science, Technology and Math",1739,15,0.9%,s,s,s,12,2017-18
01M650,Cascades High School,263,31,11.8%,15,s,s,12,2017-18
01M696,Bard High School Early College,587,15,2.6%,s,s,s,8,2017-18
01M700,Universal Pre-K C.B.O.,367,53,14.4%,24,s,s,26,2017-18
01M839,Tompkins Square Middle School,375,34,9.1%,7,s,s,21,2017-18
02M001,P.S. 001 Alfred E. Smith,342,23,6.7%,15,s,s,7,2017-18
02M002,P.S. 002 Meyer London,574,132,23.0%,20,13,7,109,2017-18
02M003,P.S. 003 Charrette School,769,9,1.2%,s,s,s,7,2017-18
02M006,P.S. 006 Lillie D. Blake,714,s,s,s,s,s,s,2017-18
02M011,P.S. 011 William T. Harris,950,52,5.5%,24,17,7,27,2017-18
02M033,P.S. 033 Chelsea Prep,679,111,16.3%,76,68,8,32,2017-18
