dbn,school_name_housing,borough_housing,total_enrollment,n_students_temp_housing,pct_students_temp_housing,n_students_in_shelter,n_dhs_shelter,n_non_dhs_shelter,n_doubled_up,school_name_attendance,grade,category,year,total_days,days_absent,days_present,attendance,borough_attendance,pct_chronically_absent,n_chronically_absent,n_contributing_students
01M015,P.S. 015 Roberto Clemente,Manhattan,192.0,59.0,30.7,21.0,15.0,6.0,36.0,P.S. 015 Roberto Clemente,All Grades,All Students,2020-21,32686.0,3931.0,28755.0,88.0,Manhattan,42.2,84.0,199.0
01M019,P.S. 019 Asher Levy,Manhattan,212.0,24.0,11.3,14.0,,,9.0,P.S. 019 Asher Levy,All Grades,All Students,2020-21,36681.0,2523.0,34158.0,93.1,Manhattan,23.5,50.0,213.0
01M020,P.S. 020 Anna Silver,Manhattan,417.0,57.0,13.7,33.0,17.0,16.0,18.0,P.S. 020 Anna Silver,All Grades,All Students,2020-21,71138.0,5482.0,65656.0,92.3,Manhattan,23.3,99.0,425.0
01M034,P.S. 034 Franklin D. Roosevelt,Manhattan,284.0,61.0,21.5,37.0,22.0,15.0,24.0,P.S. 034 Franklin D. Roosevelt,All Grades,All Students,2020-21,48074.0,5516.0,42558.0,88.5,Manhattan,40.6,116.0,286.0
01M063,The STAR Academy - P.S.63,Manhattan,215.0,38.0,17.7,18.0,11.0,7.0,18.0,The STAR Academy - P.S.63,All Grades,All Students,2020-21,36697.0,2599.0,34098.0,92.9,Manhattan,25.7,57.0,222.0
01M064,P.S. 064 Robert Simon,Manhattan,229.0,43.0,18.8,15.0,,,27.0,P.S. 064 Robert Simon,All Grades,All Students,2020-21,38761.0,4809.0,33952.0,87.6,Manhattan,48.1,112.0,233.0
01M110,P.S. 110 Florence Nightingale,Manhattan,375.0,50.0,13.3,19.0,11.0,8.0,30.0,P.S. 110 Florence Nightingale,All Grades,All Students,2020-21,64920.0,3930.0,60990.0,93.9,Manhattan,19.4,74.0,382.0
01M134,P.S. 134 Henrietta Szold,Manhattan,210.0,41.0,19.5,16.0,,,20.0,P.S. 134 Henrietta Szold,All Grades,All Students,2020-21,36644.0,5816.0,30828.0,84.1,Manhattan,54.8,120.0,219.0
01M140,P.S. 140 Nathan Straus,Manhattan,362.0,84.0,23.2,32.0,19.0,13.0,47.0,P.S. 140 Nathan Straus,All Grades,All Students,2020-21,61555.0,13060.0,48495.0,78.8,Manhattan,63.1,233.0,369.0
01M142,P.S. 142 Amalia Castro,Manhattan,337.0,78.0,23.1,20.0,,,55.0,P.S. 142 Amalia Castro,All Grades,All Students,2020-21,56464.0,5402.0,51062.0,90.4,Manhattan,35.8,123.0,344.0
01M184,P.S. 184m Shuang Wen,Manhattan,722.0,81.0,11.2,,,,79.0,P.S. 184m Shuang Wen,All Grades,All Students,2020-21,125881.0,3404.0,122477.0,97.3,Manhattan,6.2,45.0,728.0
01M188,P.S. 188 The Island School,Manhattan,398.0,160.0,40.2,93.0,69.0,24.0,57.0,P.S. 188 The Island School,All Grades,All Students,2020-21,65521.0,10827.0,54694.0,83.5,Manhattan,53.1,217.0,409.0
01M292,Orchard Collegiate Academy,Manhattan,296.0,35.0,11.8,15.0,8.0,7.0,19.0,Orchard Collegiate Academy,All Grades,All Students,2020-21,51741.0,9998.0,41743.0,80.7,Manhattan,56.9,170.0,299.0
01M315,The East Village Community School,Manhattan,308.0,11.0,3.6,,,,9.0,The East Village Community School,All Grades,All Students,2020-21,51850.0,2195.0,49655.0,95.8,Manhattan,11.3,35.0,309.0
01M332,University Neighborhood Middle School,Manhattan,208.0,41.0,19.7,16.0,9.0,7.0,23.0,University Neighborhood Middle School,All Grades,All Students,2020-21,36277.0,5484.0,30793.0,84.9,Manhattan,46.4,98.0,211.0
01M361,The Children's Workshop School,Manhattan,305.0,23.0,7.5,,,,16.0,The Children's Workshop School,All Grades,All Students,2020-21,51863.0,4154.0,47709.0,92.0,Manhattan,24.0,75.0,313.0
